"","Institution","Titre du poste","Domaine","Date limite"
"3775","Caris Foundation International","Chief of Party (COP)","Santé et Professions médicales","23 Juil 18"
"3776","GHSC-TA","Assistant (e) Administratif (ve)","Management/Gestion, Finance, Comptabilité et Commerce","20 Juil 18"
"3777","Save the Children en Haiti","Formateur (trice) en Plomberie","Métiers du bâtiment et autres","20 Juil 18"
"3778","Quala Ayiti","Analista de Gestion Humana","Management/Gestion, Finance, Comptabilité et Commerce","20 Juil 18"
"3779","Mercy Corps Haiti","Cash Training Officer","Sciences Humaines et Sociales","20 Juil 18"
"3780","NCBA CLUSA","Mobilisateurs/Mobilisatrices Communautaires","Agriculture �<U+0080><U+0093> Agroalimentaire","20 Juil 18"
"3781","NCBA CLUSA","Specialiste - Gestion de Campagnes Marketing","Agriculture �<U+0080><U+0093> Agroalimentaire","20 Juil 18"
"3782","Plan International-Haiti","Sexual, Reproductive Health and Civil Society Strengthening National Coordinator","Santé et Professions médicales","19 Juil 18"
"3783","AIR","Event and Logistics Coordinator","Transport et Logistique","19 Juil 18"
"3784","Sani Clean S.A.","Superviseur","- - Non-defini - -","19 Juil 18"
"3785","JSI","Senior Monitoring, Evaluation, and Learning Advisor","Sciences économiques et politiques","18 Juil 18"
"3786","JSI","Chief of Party","Santé et Professions médicales","18 Juil 18"
"3787","JSI","Finance & Administrative Director","Management/Gestion, Finance, Comptabilité et Commerce","18 Juil 18"
"3788","Plan International-Haiti","Resilience and Disaster Risk Management National Coordinator","Environnement et Sciences de la Terre","18 Juil 18"
"3789","Secteur prive","Manager Procurement","Management/Gestion, Finance, Comptabilité et Commerce","18 Juil 18"
"3790","Projet Rehabilitation Rurale","Assistant Comptable","Management/Gestion, Finance, Comptabilité et Commerce","17 Juil 18"
"3791","PADF/HAITI","Monitoring and Evaluation Manager","Sciences économiques et politiques","17 Juil 18"
"3792","Projet Rehabilitation Rurale","Chargé de projet Support Nutritionnel dans les Centres d�<U+0080><U+0099>Education Participative","- - Non-defini - -","17 Juil 18"
"3793","Mercy Corps Haiti","Monitoring and Evaluation Officer Cash transfer & Food security","Management/Gestion, Finance, Comptabilité et Commerce","16 Juil 18"
"3794","Mercy Corps Haiti","Officier de Transfert Monétaires","Sciences Humaines et Sociales","16 Juil 18"
"3795","ACTED","Responsable de Base","Management/Gestion, Finance, Comptabilité et Commerce","16 Juil 18"
"3796","UNOPS","Spécialiste en Ingénierie et Maintenance Hospitalière","- - Non-defini - -","15 Juil 18"
"3797","PNUD Haiti","Assistant aux achats / Projet Relèvement Post-Catastrophe","Management/Gestion, Finance, Comptabilité et Commerce","15 Juil 18"
"3798","Concern Worldwide Haiti","Assistant Gestionnaire de Programme / IAPF","Sciences Humaines et Sociales","15 Juil 18"
"3799","Solidarites International","Responsable d'Activité Ingénierie Sociale","Sciences Humaines et Sociales","15 Juil 18"
"3800","STRATEGYS","Coordonnateur de Recrutement","Management/Gestion, Finance, Comptabilité et Commerce","15 Juil 18"
"3801","Caris Foundation International","Comptable","Management/Gestion, Finance, Comptabilité et Commerce","13 Juil 18"
"3802","Secteur projet","Project Liaison Officer","Management/Gestion, Finance, Comptabilité et Commerce","13 Juil 18"
"3803","Helvetas Swiss Intercooperation","de Responsable Innovations Agricoles (F/M), PAGAI-RIA-004","Agriculture �<U+0080><U+0093> Agroalimentaire","13 Juil 18"
"3804","Helvetas Swiss Intercooperation","Responsable de Suivi-Evaluation (F/M), PAGAI-RSE-003","Agriculture �<U+0080><U+0093> Agroalimentaire","13 Juil 18"
"3805","Helvetas Swiss Intercooperation","Facilitateur-trice, dans le département du Sud (PAGAI-FAS-002)","Sciences Humaines et Sociales","13 Juil 18"
"3806","DAI/WASH","Knowledge, Collaboration and Learning Specialist","Communication et Journalisme","13 Juil 18"
"3807","GHSC-PSM","HIV/AIDS Technical Advisor","Santé et Professions médicales","12 Juil 18"
"3808","CARE Haiti","Directeur/trice des Partenariats, de la Qualité des Programmes et de l�<U+0080><U+0099>Apprentissage","Sciences Humaines et Sociales","12 Juil 18"
"3809","FAO","Coordinateur national pour l'élaboration d'une proposition de financement à soumettre au Fonds vert","Agriculture �<U+0080><U+0093> Agroalimentaire","9 Juil 18"
"3810","CRS","MEAL Officer- Haiti MPCA Readiness","Sciences Humaines et Sociales","9 Juil 18"
"3811","CRS","Officier de la Flotte- Cayes","Mécanique","9 Juil 18"
"3812","Save the Children en Haiti","Sponsor Servicing & Quality Coordinator","Communication et Journalisme","9 Juil 18"
"3813","PNUD Haiti","Analyste aux achats","Management/Gestion, Finance, Comptabilité et Commerce","9 Juil 18"
"3814","BWH/ILO","National Officer   Team Leader","Management/Gestion, Finance, Comptabilité et Commerce","9 Juil 18"
"3815","PNUD Haiti","Chef de Projet Gestion de déchets solides","Architecture, Urbanisme et Aménagement du territoire","8 Juil 18"
"3816","FHI/Humanité & Inclusion_ HI","Conseiller technique","Sciences Humaines et Sociales","8 Juil 18"
"3817","J/P HRO","Senior Grant and Contracts Manager","Agriculture �<U+0080><U+0093> Agroalimentaire","7 Juil 18"
"3818","Concern Worldwide Haiti","Assistant Programme Manager M&E","Sciences Humaines et Sociales","7 Juil 18"
"3819","GHSC-PSM","Supply Network Coordinator","Santé et Professions médicales","6 Juil 18"
"3820","University of Florida","Coordinateur(trice)  en agriculture intelligente face au climat (Niveau maitrise)","Agriculture �<U+0080><U+0093> Agroalimentaire","6 Juil 18"
"3821","University of Florida","Assistant(e) de Recherche (Niveau maitrise)","Agriculture �<U+0080><U+0093> Agroalimentaire","6 Juil 18"
"3822","University of Florida","Généticien des Plantes (Doctorat)","Agriculture �<U+0080><U+0093> Agroalimentaire","6 Juil 18"
"3823","University of Florida","Technicien(ne) en Protection des Végétaux (maitrise)","Agriculture �<U+0080><U+0093> Agroalimentaire","6 Juil 18"
"3824","Save the Children en Haiti","Officier de Gestion des Risques et Désastres (GRD) et Résilience","Sciences Humaines et Sociales","6 Juil 18"
"3825","Secteur prive","Coordonnateur des études","Sciences de l�<U+0080><U+0099>Education","6 Juil 18"
"3826","PNUD Haiti","Chargé de programme / Gouvernance (NOC Haiti)","Sciences Humaines et Sociales","5 Juil 18"
"3827","PNUD Haiti","Officier Moyens d'existence","Sciences économiques et politiques","5 Juil 18"
"3828","PNUD Haiti","Chef de projet  �<U+0080><U+0093> Relevement post-catastrophe","Sciences économiques et politiques","5 Juil 18"
"3829","CRS","Mobilisateur (trice) Communautaire","Santé et Professions médicales","4 Juil 18"
"3830","ZL/PIH","Gestionnaire de Finance","Management/Gestion, Finance, Comptabilité et Commerce","2 Juil 18"
"3831","Oxfam Intermon","Officier Compliance","Management/Gestion, Finance, Comptabilité et Commerce","2 Juil 18"
"3832","OHMaSS (PSI-Haïti)","Auditeur Interne Adjoint","Management/Gestion, Finance, Comptabilité et Commerce","2 Juil 18"
"3833","PNUD Haiti","Finance Analyst (NOB - Haiti)","Management/Gestion, Finance, Comptabilité et Commerce","1 Juil 18"
"3834","Habitat pour l'humanite Haiti","Communications and Partnerships Specialist","Communication et Journalisme","30 Juin 18"
"3835","Secteur prive","Officier de credit","Management/Gestion, Finance, Comptabilité et Commerce","30 Juin 18"
"3836","CDS","Infirmière Spécialiste en Sante Communautaire","Santé et Professions médicales","29 Juin 18"
"3837","CRS","Senior Monitoring, Evaluation, Accountability and Learning Advisor","Sciences économiques et politiques","29 Juin 18"
"3838","CRS","Finance Manager","Management/Gestion, Finance, Comptabilité et Commerce","29 Juin 18"
"3839","GHSC-TA","Consultant - Spécialiste","Santé et Professions médicales","29 Juin 18"
"3840","FINCA Haiti S.A.","Agricultural Value Chain and Financing Consultant","Agriculture �<U+0080><U+0093> Agroalimentaire","29 Juin 18"
"3841","Save the Children en Haiti","Finance Director","Management/Gestion, Finance, Comptabilité et Commerce","28 Juin 18"
"3842","OHMaSS (PSI-Haïti)","Coordonnateur(rice) des achats en produits de santé","Management/Gestion, Finance, Comptabilité et Commerce","28 Juin 18"
"3843","DAI/WASH","WSS Marketing and Communications Specialist","Marketing","28 Juin 18"
"3844","Chemonics International / Projet de reboisement USAID","Coordonnateur d'étude qualitative","Sciences Humaines et Sociales","27 Juin 18"
"3845","CMMB","Procurement Officer","Management/Gestion, Finance, Comptabilité et Commerce","27 Juin 18"
"3846","CRS","Officier d�<U+0080><U+0099>assainissement","- - Non-defini - -","25 Juin 18"
"3847","Pwoje Espwa Sud","Directeur pour le Centre éducatif Espoir 3ème Cycle Fondamental et Secondaire","Sciences de l�<U+0080><U+0099>Education","25 Juin 18"
"3848","Pwoje Espwa Sud","Manager de sécurité","Sécurité","25 Juin 18"
"3849","ABT/Shops Plus Project USAID","Consultant �<U+0080><U+0093> Spécialiste en Ventes et Distribution","Marketing","25 Juin 18"
"3850","PNUD Haiti","conseiller (ère) technique -  Région Marigot / Anse-à-Pitres","Environnement et Sciences de la Terre","25 Juin 18"
"3851","ACTED","Conseilleur Technique Activité Génératrice Revenue (AGR)","Management/Gestion, Finance, Comptabilité et Commerce","25 Juin 18"
"3852","ACF","Officier Suivi, Evaluation, Redevabilité et Apprentissage (MEAL)-Anse -d'Hainault","Sciences économiques et politiques","24 Juin 18"
"3853","ACF","Responsable de Programme Sécurité Alimentaire et Moyens d�<U+0080><U+0099>existence","Sciences économiques et politiques","24 Juin 18"
"3854","PADF/HAITI","Regional Coordinator","Sciences de l�<U+0080><U+0099>Ingénieur","22 Juin 18"
"3855","World Vision Haiti","Accounting Coordinator","Management/Gestion, Finance, Comptabilité et Commerce","22 Juin 18"
"3856","Chemonics International / Projet de reboisement USAID","Coordonateur de la technologie de cuisson améliorée","Agriculture �<U+0080><U+0093> Agroalimentaire","22 Juin 18"
"3857","Chemonics International / Projet de reboisement USAID","Technicien en apiculture et production apicole","Agriculture �<U+0080><U+0093> Agroalimentaire","22 Juin 18"
"3858","Chemonics International / Projet de reboisement USAID","Production fourragère et production animale","Agriculture �<U+0080><U+0093> Agroalimentaire","22 Juin 18"
"3859","Chemonics International / Projet de reboisement USAID","Technicien en gestion de lots et de couverts boisés","Agriculture �<U+0080><U+0093> Agroalimentaire","22 Juin 18"
"3860","Chemonics International / Projet de reboisement USAID","Assistant de subventions","Sciences de l�<U+0080><U+0099>Education","22 Juin 18"
"3861","Secteur prive","Spécialiste en Suivi-Evaluation","Management/Gestion, Finance, Comptabilité et Commerce","22 Juin 18"
"3862","Save the Children en Haiti","Coordonnateur de Construction","Sciences de l�<U+0080><U+0099>Ingénieur","21 Juin 18"
"3863","Concern Worldwide Haiti","Cashier & Finance Support","Management/Gestion, Finance, Comptabilité et Commerce","20 Juin 18"
"3864","GHSC-PSM","Inventory/Material control Assistant","Management/Gestion, Finance, Comptabilité et Commerce","20 Juin 18"
"3865","Secteur prive","Responsable de l'Hébergement","Tourisme, Hôtellerie et Restauration","20 Juin 18"
"3866","PNUD Haiti","Chargé (e) de Communication / UNOCHA","Communication et Journalisme","20 Juin 18"
"3867","DAI/WASH","Environmental Compliance Specialist","Environnement et Sciences de la Terre","20 Juin 18"
"3868","ABT/Shops Plus Project USAID","Technical Specialist 9 / Monitoring &Evaluation Manager","Sciences économiques et politiques","18 Juin 18"
"3869","GHSC-PSM","Tax Exemption Assistant","Management/Gestion, Finance, Comptabilité et Commerce","18 Juin 18"
"3870","IHI","Office Manager","Management/Gestion, Finance, Comptabilité et Commerce","18 Juin 18"
"3871","IHI","Coordonnateur de Terrain","Santé et Professions médicales","18 Juin 18"
"3872","Chemonics/JSPP","Assistant Comptable","Management/Gestion, Finance, Comptabilité et Commerce","18 Juin 18"
"3873","Secteur prive","Chef de Service Administratif et Financier (niveau maitrise)","Management/Gestion, Finance, Comptabilité et Commerce","17 Juin 18"
"3874","Chemonics / IFMS","Driver","Transport et Logistique","16 Juin 18"
"3875","ACTED","Responsable de projet WASH","Sciences de l�<U+0080><U+0099>Ingénieur","16 Juin 18"
"3876","ABT/Shops Plus Project USAID","Vector Control Assistant","Santé et Professions médicales","15 Juin 18"
"3877","CRS","Coordinateur Technique de l'Infrastructure - URBAYITI","Architecture, Urbanisme et Aménagement du territoire","15 Juin 18"
"3878","CRS","Officier MUSO- URBAYITI","Architecture, Urbanisme et Aménagement du territoire","15 Juin 18"
"3879","Secteur prive","Comptable","Management/Gestion, Finance, Comptabilité et Commerce","15 Juin 18"
"3880","Secteur international","Chargé(e) de l'Administration et des Finances / UNOCHA","Management/Gestion, Finance, Comptabilité et Commerce","15 Juin 18"
"3881","ICAP Columbia University","Receptionist / Finance & Operations Assistant","Secrétariat","15 Juin 18"
"3882","ICAP Columbia University","Human Resources Officer","Management/Gestion, Finance, Comptabilité et Commerce","15 Juin 18"
"3883","ICAP Columbia University","Finance Manager","Management/Gestion, Finance, Comptabilité et Commerce","15 Juin 18"
"3884","ICAP Columbia University","Chauffeur","Transport et Logistique","15 Juin 18"
"3885","Ayiti Nexus","Operations Manager","Management/Gestion, Finance, Comptabilité et Commerce","14 Juin 18"
"3886","FAO","Consultant National Spécialiste en Nutrition en appui à la CNSA","Santé et Professions médicales","14 Juin 18"
"3887","PNUD Haiti","Security Associate","Sécurité","14 Juin 18"
"3888","PNUD Haiti","Chef de projet �<U+0080><U+0093> Automatisation des femmes - KOICA / Republication","Sciences Humaines et Sociales","13 Juin 18"
"3889","PNUD Haiti","Chef de projet et Expert(e) en Ingénierie civil / Brésil","Architecture, Urbanisme et Aménagement du territoire","13 Juin 18"
"3890","GHSC-PSM","Data Specialist","Santé et Professions médicales","12 Juin 18"
"3891","GHSC-PSM","Data Analyst OI","Santé et Professions médicales","12 Juin 18"
"3892","GHSC-PSM","Performance Data Clerk","Sciences Informatiques","12 Juin 18"
"3893","FONKOZE","Agent de saisie (Data Clerck)","Sciences Informatiques","11 Juin 18"
"3894","GHSC-PSM","Technicien en Evaluation et organisation des espaces de stockage","Santé et Professions médicales","11 Juin 18"
"3895","HELP","Service-Learning Program Coordinator (SLPC)","Management/Gestion, Finance, Comptabilité et Commerce","11 Juin 18"
"3896","Entrepreneurs du Monde/Palmis Mikwofinans Sosyal","Agent de Crédit","Management/Gestion, Finance, Comptabilité et Commerce","10 Juin 18"
"3897","Entrepreneurs du Monde/Palmis Mikwofinans Sosyal","Directeur d'agence","Management/Gestion, Finance, Comptabilité et Commerce","10 Juin 18"
"3898","Entrepreneurs du Monde/Palmis Mikwofinans Sosyal","Agent Administratif","Management/Gestion, Finance, Comptabilité et Commerce","10 Juin 18"
"3899","Secteur ong","Directeur du CFE","Management/Gestion, Finance, Comptabilité et Commerce","8 Juin 18"
"3900","Secteur ong","Responsable It Informatique","Sciences Informatiques","8 Juin 18"
"3901","MARNDR","Chauffeurs de semi remorque (trailer)","Transport et Logistique","7 Juin 18"
"3902","MARNDR","Opérateurs de bulldozer","Transport et Logistique","7 Juin 18"
"3903","MARNDR","Opérateurs d�<U+0080><U+0099>excavatrice","Transport et Logistique","7 Juin 18"
"3904","Chemonics / IFMS","Spécialiste du réseau informatique en Haïti","Sciences Informatiques","6 Juin 18"
"3905","CDS","Psychologue","Sciences Humaines et Sociales","3 Juin 18"
"3906","World Renew","Technicien (ne)  agricole avec concentration en Production végétale","Agriculture �<U+0080><U+0093> Agroalimentaire","3 Juin 18"
"3907","CFET S.A.","Coordonateur - Renforcement des partenaires du Fond Mondial","Management/Gestion, Finance, Comptabilité et Commerce","1 Juin 18"
"3908","Kayimo","Agents Immobilier et de Promotion","Marketing","1 Juin 18"
"3909","Ayiti Nexus","Senior Accountant","Management/Gestion, Finance, Comptabilité et Commerce","31 Mai 18"
"3910","PNUD Haiti","Chargé (e) du Développement des Capacités Institutionnelles de la Police Nationale","Droit","31 Mai 18"
"3911","Project Medishare for Haiti","Procurement Officer","Management/Gestion, Finance, Comptabilité et Commerce","31 Mai 18"
"3912","Project Medishare for Haiti","Human Resources Manager","Management/Gestion, Finance, Comptabilité et Commerce","31 Mai 18"
"3913","Solidarites International","Coordinateur des Programmes","Management/Gestion, Finance, Comptabilité et Commerce","31 Mai 18"
"3914","PNUD Haiti","Chargé(e) du Développement des Capacités Institutionnelles dans le secteur de la justice","Droit","30 Mai 18"
"3915","PNUD Haiti","Expert thématique en égalité des sexes / Democratic Governance - AGLDT","Sciences Humaines et Sociales","29 Mai 18"
"3916","Global Communities - (formerly CHF)","Ingénieur en Génie �<U+0089>lectrique ou �<U+0089>lectromécanique","Sciences de l�<U+0080><U+0099>Ingénieur","28 Mai 18"
"3917","WeltHungerHilfe (Agro Action Allemande)","Agent (e) Administratif (ve)","Agriculture �<U+0080><U+0093> Agroalimentaire","28 Mai 18"
"3918","ASFC","Technicien(ne) Administration et Finance","Management/Gestion, Finance, Comptabilité et Commerce","28 Mai 18"
"3919","PNUD Haiti","Chargé (e) de projet / projet de Logement de Lahaie","Architecture, Urbanisme et Aménagement du territoire","27 Mai 18"
"3920","Croix Rouge Espagnole","Chargé(e) de la Logistique","Transport et Logistique","27 Mai 18"
"3921","Plan International-Haiti","Logistics Assistant","Management/Gestion, Finance, Comptabilité et Commerce","25 Mai 18"
"3922","Oxfam Intermon - Artibonite","Officer WASH - Gestion Ouvrages","Sciences de l�<U+0080><U+0099>Ingénieur","25 Mai 18"
"3923","GOAL Haiti","Grants & Communication Manager","Sciences Humaines et Sociales","25 Mai 18"
"3924","GOAL Haiti","MEL Officer","Sciences économiques et politiques","25 Mai 18"
"3925","GOAL Haiti","Logistics Manager","Transport et Logistique","25 Mai 18"
"3926","GOAL Haiti","Compliance Officer","Management/Gestion, Finance, Comptabilité et Commerce","25 Mai 18"
"3927","GOAL Haiti","Economic Development Technical Advisor","Sciences économiques et politiques","25 Mai 18"
"3928","Secteur ong","Coordonnateur WASH","Sciences de l�<U+0080><U+0099>Ingénieur","24 Mai 18"
"3929","Bright Hope","Operations Manager","Management/Gestion, Finance, Comptabilité et Commerce","24 Mai 18"
"3930","DAI Global, LLC","Administrative Assistant","Secrétariat","23 Mai 18"
"3931","DAI Global, LLC","Procurement Officer","Management/Gestion, Finance, Comptabilité et Commerce","23 Mai 18"
"3932","DAI Global, LLC","Event and Logistics Coordinator","Management/Gestion, Finance, Comptabilité et Commerce","23 Mai 18"
"3933","DAI Global, LLC","Haiti HIS eHealth Advisor","Santé et Professions médicales","23 Mai 18"
"3934","PNUD Haiti","Chef de Projet Appui a la Préparation et a la Gestion des Désastres en Haiti","Environnement et Sciences de la Terre","22 Mai 18"
"3935","Living Water International","Program Coordinator (Op. Cat 3)","Management/Gestion, Finance, Comptabilité et Commerce","22 Mai 18"
"3936","Living Water International","CM&GP Coordinator (Op. Cat 3)","Sciences Humaines et Sociales","22 Mai 18"
"3937","Living Water International","Monitoring, Evaluation and Learning (MEL) Officer","Sciences économiques et politiques","22 Mai 18"
"3938","OHMaSS (PSI-Haïti)","Coordonnateur Approvisionnement et Contrats","Management/Gestion, Finance, Comptabilité et Commerce","21 Mai 18"
"3939","OHMaSS (PSI-Haïti)","Photographie","Arts, Culture, Design et mode","21 Mai 18"
"3940","Solidarites International","Responsable Programme EHA","Management/Gestion, Finance, Comptabilité et Commerce","20 Mai 18"
"3941","Solidarites International","Adjoint Coordinateur des Programmes","Management/Gestion, Finance, Comptabilité et Commerce","20 Mai 18"
"3942","Save the Children en Haiti","Ingénieur en Construction et en Réhabilitation d'écoles","Sciences de l�<U+0080><U+0099>Ingénieur","20 Mai 18"
"3943","Olive Tree Projects","In-Country Director","Management/Gestion, Finance, Comptabilité et Commerce","20 Mai 18"
"3944","University of Florida","Evaluateurs (niveau maîtrise)","Agriculture �<U+0080><U+0093> Agroalimentaire","20 Mai 18"
"3945","Secteur ong","Coordonnateur/trice Filières","Management/Gestion, Finance, Comptabilité et Commerce","19 Mai 18"
"3946","Oxfam Intermon - Artibonite","Assistant Fin RH","Management/Gestion, Finance, Comptabilité et Commerce","18 Mai 18"
"3947","GHSC-PSM","Regional Supply Chain Monitor (RSCM) Nord-Est","Santé et Professions médicales","17 Mai 18"
"3948","Mercy Corps Haiti","Coordonnateur de programme, Programme Ann Viv Ansanm","Management/Gestion, Finance, Comptabilité et Commerce","17 Mai 18"
"3949","CDS","Infirmière Spécialiste en Sante Communautaire","Santé et Professions médicales","16 Mai 18"
"3950","CDS","Infirmière de Ligne","Santé et Professions médicales","16 Mai 18"
"3951","Initiative Développement","Responsable Terrain programme Santé","Santé et Professions médicales","15 Mai 18"
"3952","OHMaSS (PSI-Haïti)","Secrétaire-Receptionniste (Suppléante)","Secrétariat","15 Mai 18"
"3953","CARE Haiti","Chef de Projet �<U+0080><U+009C>Urbayiti: Vil nou pi bel�<U+0080>�","Architecture, Urbanisme et Aménagement du territoire","12 Mai 18"
"3954","Plan International-Haiti","Logistics Coordinator/Maternity Cover","Management/Gestion, Finance, Comptabilité et Commerce","11 Mai 18"
"3955","Concern Worldwide Haiti","Stagiaire en Suivi et Evaluation","Sciences Humaines et Sociales","11 Mai 18"
"3956","Save the Children en Haiti","Officier Finance","Management/Gestion, Finance, Comptabilité et Commerce","11 Mai 18"
"3957","Save the Children en Haiti","Basic Education Senior Officer","Sciences de l�<U+0080><U+0099>Education","11 Mai 18"
"3958","OHMaSS (PSI-Haïti)","Officier Assurance Qualité (Profil Gestion Management)","Management/Gestion, Finance, Comptabilité et Commerce","11 Mai 18"
"3959","OHMaSS (PSI-Haïti)","Officier Assurance Qualité (profil santé)","Santé et Professions médicales","11 Mai 18"
"3960","OHMaSS (PSI-Haïti)","Officier Assurance Qualité (Profil Statistique/Informatique)","Sciences économiques et politiques","11 Mai 18"
"3961","Oxfam Intermon - Artibonite","Assistant(e) Genre - EFH","Sciences Humaines et Sociales","10 Mai 18"
"3962","Secteur international","Technicien/Technicienne Agricole-Animateur/Animatrice de Champ école paysan (CEP)","Agriculture �<U+0080><U+0093> Agroalimentaire","10 Mai 18"
"3963","Save the Children en Haiti","Point Focal pour la Protection et les Droits de l�<U+0080><U+0099>Enfant","Sciences Humaines et Sociales","10 Mai 18"
"3964","Secteur prive","Category Manager","Marketing","10 Mai 18"
"3965","Secteur prive","Représentant Commercial","Marketing","10 Mai 18"
"3966","CARE Haiti","Knowledge Management & Learning Advisor","Sciences économiques et politiques","10 Mai 18"
"3967","Plan International-Haiti","Project Coordinator (Croix des Bouquets)","Sciences de l�<U+0080><U+0099>Education","9 Mai 18"
"3968","Plan International-Haiti","Project Coordinator (Jacmel)","Sciences de l�<U+0080><U+0099>Education","9 Mai 18"
"3969","CFET S.A.","Administrative Assistant","Management/Gestion, Finance, Comptabilité et Commerce","9 Mai 18"
"3970","Secteur ong","Consultant indépendant �<U+0080><U+0093> étude d�<U+0080><U+0099>impact","Agriculture �<U+0080><U+0093> Agroalimentaire","7 Mai 18"
"3971","Ambassade de Suisse","Responsable National-e de Programme (RNP)","Sciences Humaines et Sociales","7 Mai 18"
"3972","CRS","Urbayiti MEAL Officer","Sciences économiques et politiques","7 Mai 18"
"3973","Save the Children en Haiti","Sponsorship Manager","Management/Gestion, Finance, Comptabilité et Commerce","6 Mai 18"
"3974","Secteur prive","Préposé au Stock","Management/Gestion, Finance, Comptabilité et Commerce","4 Mai 18"
"3975","FAO","Animateur/Animatrice de terrain","Agriculture �<U+0080><U+0093> Agroalimentaire","4 Mai 18"
"3976","Lafito Industrial Free Zone","Power Plant Manager","Sciences de l�<U+0080><U+0099>Ingénieur","4 Mai 18"
"3977","Lafito Industrial Free Zone","Nettoyeur","Mécanique","4 Mai 18"
"3978","Lafito Industrial Free Zone","Superviseur d�<U+0080><U+0099>Opérations de Centrale Electrique","Métiers du bâtiment et autres","4 Mai 18"
"3979","Lafito Industrial Free Zone","Technicien en Electricité","Métiers du bâtiment et autres","4 Mai 18"
"3980","Lafito Industrial Free Zone","Chef Electricien d�<U+0080><U+0099>Entretien","Sciences de l�<U+0080><U+0099>Ingénieur","4 Mai 18"
"3981","Lafito Industrial Free Zone","Chef Mécanicien d�<U+0080><U+0099>Entretien","Sciences de l�<U+0080><U+0099>Ingénieur","4 Mai 18"
"3982","Lafito Industrial Free Zone","Chef d�<U+0080><U+0099>Opérations de Centrale Electrique","Sciences de l�<U+0080><U+0099>Ingénieur","4 Mai 18"
"3983","Lafito Industrial Free Zone","Mécanicien d�<U+0080><U+0099>Entretien","Mécanique","4 Mai 18"
"3984","Lafito Industrial Free Zone","Operateur de Centrale Electrique","Sciences de l�<U+0080><U+0099>Ingénieur","4 Mai 18"
"3985","Solidarites International","Assistant Responsable Programme EHA","Sciences Humaines et Sociales","2 Mai 18"
"3986","CRS","MEAL Country Manager","Sciences Humaines et Sociales","2 Mai 18"
"3987","FHI/Humanité & Inclusion_ HI","Responsable de volet renforcement des Services de Réadaptation","Santé et Professions médicales","2 Mai 18"
"3988","DIGICEL","Customer Care Manager","Management/Gestion, Finance, Comptabilité et Commerce","30 Avril 18"
"3989","ACTED","Responsable de Base","Management/Gestion, Finance, Comptabilité et Commerce","30 Avril 18"
"3990","ACTED","Responsable Programme Spécialiste en Développement Rural","Agriculture �<U+0080><U+0093> Agroalimentaire","30 Avril 18"
"3991","Brasserie de la Couronne S.A.","Agent Commercial (Port-au-Prince)","Marketing","30 Avril 18"
"3992","FHI/Humanité & Inclusion_ HI","Chef de projet READ","Santé et Professions médicales","30 Avril 18"
"3993","GOAL Haiti","Infrastructures and DRR  Manager","Sciences de l�<U+0080><U+0099>Ingénieur","30 Avril 18"
"3994","GOAL Haiti","Urban Resilience Project Manager","Sciences de l�<U+0080><U+0099>Ingénieur","30 Avril 18"
"3995","GOAL Haiti","Officier Liaison communautaires / SDA","Sciences Humaines et Sociales","30 Avril 18"
"3996","GOAL Haiti","Manager GRD","Architecture, Urbanisme et Aménagement du territoire","30 Avril 18"
"3997","CARE Haiti","Officier Administratif, Finance et de Liaison","Management/Gestion, Finance, Comptabilité et Commerce","30 Avril 18"
"3998","ZL/PIH","Manager du Laboratoire de Microbiologie","Santé et Professions médicales","30 Avril 18"
"3999","Sani Clean S.A.","Technicien en Pest Control","- - Non-defini - -","30 Avril 18"
"4000","Mercy Corps Haiti","Operations Manager","Management/Gestion, Finance, Comptabilité et Commerce","28 Avril 18"
"4001","Habitat pour l'humanite Haiti","Housing and Urban Development Specialist","Architecture, Urbanisme et Aménagement du territoire","27 Avril 18"
"4002","Oxfam Intermon","Field Manager","Agriculture �<U+0080><U+0093> Agroalimentaire","27 Avril 18"
"4003","Secteur prive","Director of Operations","Management/Gestion, Finance, Comptabilité et Commerce","24 Avril 18"
"4004","Heifer Haiti","Spécialiste en Développement Communautaire","Sciences Humaines et Sociales","23 Avril 18"
"4005","PNLS","Réceptionniste de bureau","Secrétariat","23 Avril 18"
"4006","CFET S.A.","Responsable Commercial","Marketing","23 Avril 18"
"4007","Heifer Haiti","Spécialiste en Suivi et Evaluation","Agriculture �<U+0080><U+0093> Agroalimentaire","23 Avril 18"
"4008","Oxfam Intermon - Anse Rouge","Assistant (e) Meal","Sciences économiques et politiques","23 Avril 18"
"4009","Concern Worldwide Haiti","Agent de terrain - Protection","Sciences Humaines et Sociales","20 Avril 18"
"4010","PNLS","Officier de MARPS","Sciences Humaines et Sociales","20 Avril 18"
"4011","PNLS","Officier de projet soins et traitement en appui à la performance des réseaux publics","Santé et Professions médicales","20 Avril 18"
"4012","FHI360","Health Systems Strengthening (HSS) Lead","Santé et Professions médicales","20 Avril 18"
"4013","FHI360","Director of Monitoring, Evaluation and Learning (MEL)","Santé et Professions médicales","20 Avril 18"
"4014","FHI360","Program Director","Santé et Professions médicales","20 Avril 18"
"4015","FHI360","Technical Director","Santé et Professions médicales","20 Avril 18"
"4016","Palmis Eneji","Responsable Enèji Pro","Management/Gestion, Finance, Comptabilité et Commerce","20 Avril 18"
"4017","Palmis Eneji","Responsable de Partenariats","Management/Gestion, Finance, Comptabilité et Commerce","20 Avril 18"
